Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Section 1: Typical Glassware / plasticware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100 mL,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,10,,,,,,,,,,,,,3A-U,,10,,,,,,,,,,0,,,,,22,,,,,,,,,,,
,250 mL,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,
,650 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C8-C,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000 mL,,,0,,I1,20,18,for acoustics,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,C8-C,,4,,,,,,,,,,0,,,Left Upper shelf,,3,,,,0,0,,,,,,
,2000 mL,,,0,,,,2,,,,,-,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
Section 2: Specialty Glassware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropping Bottles,"Clear glass, with dropper",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,68,,,,,16,,,,,,,,,,0,,,C3-B,,9,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"clear glass, no dropper",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,6,dropper missing,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaporating Dishes,Flat bottomed,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,6 mm Small,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,7 mm Medium,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,9 mm Large,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye droppers (medicine droppers),glass,,,10,stockroom,,,1,from ripple tank?,,,,-,,,,,0,,,,,54,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
